Name,Project Title,Amount($),Fiscal Year,Program
"Abran, Alain","Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering",24000,2012-2013,Discovery Grants Program - Individual
"Abran, Alain","Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering",24000,2013-2014,Discovery Grants Program - Individual
"Abran, Alain","Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering",24000,2014-2015,Discovery Grants Program - Individual
"Abran, Alain","Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering",24000,2015-2016,Discovery Grants Program - Individual
"Abran, Alain",Software Estimation & Measurement Issues,26000,2021-2022,Discovery Grants Program - Individual
"Abulnaga, Sayed",Volumetric mesh-based mapping 3D objects to a canonical template with applications to placental studies.,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Abulnaga, Sayed",Volumetric mesh-based mapping 3D objects to a canonical template with applications to placental studies.,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Abulnaga, Sayed",Volumetric mesh-based mapping 3D objects to a canonical template with applications to placental studies.,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Adaji, Ifeoma",Developing personalized persuasive technologies using an adaptive and data-driven approach,25000,2022-2023,Discovery Grants Program - Individual
"Adaji, Ifeoma",Developing personalized persuasive technologies using an adaptive and data-driven approach,12500,2022-2023,Discovery Launch Supplement
"Adam, George",Investigating Neural Network Learning Capacities: An Empirical Approach,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Adam, George",Investigating Neural Network Learning Capacities: An Empirical Approach,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Adam, George",Investigating Neural Network Learning Capacities: An Empirical Approach,35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Adams, Bram",Empirical Analysis of Build System Smells and Refactorings,32000,2018-2019,Discovery Grants Program - Individual
"Adams, Bram",Reverse Engineering a Data Lake for Data Science******,25000,2018-2019,Engage Grants Program
"Adams, Bram",Empirical Analysis of Build System Smells and Refactorings,32000,2016-2017,Discovery Grants Program - Individual
"Adams, Bram",Managing Software Build Inflation,48000,2020-2021,Discovery Grants Program - Individual
"Adams, Bram",Managing Software Build Inflation,61021,2020-2021,Discovery Grants Program - Accelerator Supplements
"Adams, Bram",Managing Software Build Inflation,18979,2020-2021,Discovery Grants Program - Accelerator Supplements
"Adams, Bram",Managing Software Build Inflation,40000,2019-2020,Discovery Grants Program - Accelerator Supplements
"Adams, Bram",Managing Software Build Inflation,48000,2019-2020,Discovery Grants Program - Individual
"Adams, Bram",Empirical Analysis of Build System Smells and Refactorings,32000,2014-2015,Discovery Grants Program - Individual
"Adams, Bram",Empirical Analysis of Build System Smells and Refactorings,32000,2015-2016,Discovery Grants Program - Individual
"Adams, Bram",Managing Software Build Inflation,48000,2022-2023,Discovery Grants Program - Individual
"Adams, Bram",Managing Software Build Inflation,48000,2021-2022,Discovery Grants Program - Individual
"Adams, Bram BM",On Release-Readiness of ML Applications,36000,2023-2024,Alliance Grants
"Adams, BramBM",On Release-Readiness of ML Applications,24000,2022-2023,Alliance Grants
"Adams, Carlisle",Private key protection for mobile security and privacy,25000,2015-2016,Engage Grants Program
"Adams, Carlisle",Biometric key generation for PKI application environments,25000,2012-2013,Engage Grants Program
"Adams, Carlisle",Addressing Security and Privacy Concerns in Mobile Device Environments,31000,2019-2020,Discovery Grants Program - Individual
"Adams, Carlisle",Addressing Security and Privacy Concerns in Mobile Device Environments,31000,2016-2017,Discovery Grants Program - Individual
"Adams, Carlisle",Efficient detection and neutralization of ransomware,25000,2016-2017,Engage Grants Program
"Adams, Carlisle",Addressing Security and Privacy Concerns in Mobile Device Environments,31000,2017-2018,Discovery Grants Program - Individual
"Adams, Carlisle",Addressing Security and Privacy Concerns in Mobile Device Environments,31000,2018-2019,Discovery Grants Program - Individual
"Adams, Carlisle",Efficient Detection of Advanced Persistent Threats,25000,2017-2018,Engage Grants Program
"Adcock, Benjamin",Scientific machine learning: bridging the gap between theory and practice in deep learning for computational science and engineering applications,29000,2022-2023,Discovery Grants Program - Individual
"Adler, Andy",Towards a complete intelligent video surveillance system using advanced image analysis schemes and biometric identification technology,25000,2011-2012,Engage Grants Program
"Adnan, Muhaimenul",Bypassing virtual memory for mining frequent patterns from huge databases,35000,2010-2011,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Adulyasak, Yossiri",Supply Chain Analytics,120000,2022-2023,Canada Research Chairs
"Ady, Nadia",Orchestrating Curiosity for Machines,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Ady, Nadia",Orchestrating Curiosity for Machines,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Agarwal, Anjali",Secure federated learning at the edge,30000,2021-2022,Alliance Grants
"Agarwal, Anjali A",Secure federated learning at the edge,30000,2023-2024,Alliance Grants
"Agarwal, AnjaliA",Secure federated learning at the edge,30000,2022-2023,Alliance Grants
"Ahmadi, Arash",Developing Bio-inspired Neuro-Engine for Intelligent Pervasive Computing,29000,2022-2023,Discovery Grants Program - Individual
"Ahmadian, Sara",Minimum Load Star-Cover problem,21000,2014-2015,Postgraduate Scholarships - Doctoral
"Ahmed, HazemRadwanA",Predicting Cancer-related Protein-Protein Interactions using Particle Swarm-based Network Alignment,45000,2014-2015,Postdoctoral Fellowships
"Ahmed, SyedIshtiaque",Computing for Voice: Advancing Technology to Reduce Marginalization,23000,2022-2023,Discovery Grants Program - Individual
"Ai, Shihan",Natural language processing of Online Social Media Data,4500,2014-2015,University Undergraduate Student Research Awards
"Aimeur, Esma",A Quest for Harmony between Privacy and Personalization: A User-Centric Approach,80000,2019-2020,Discovery Grants Program - Accelerator Supplements
"Aimeur, Esma",A Quest for Harmony between Privacy and Personalization: A User-Centric Approach,96000,2022-2023,Discovery Grants Program - Individual
"Aïmeur, Esma",Learning in the age of exposure,30000,2017-2018,Discovery Grants Program - Individual
"Aïmeur, Esma",Learning in the age of exposure,30000,2015-2016,Discovery Grants Program - Individual
"Aïmeur, Esma",Learning in the age of exposure,30000,2016-2017,Discovery Grants Program - Individual
"Aïmeur, Esma",Learning in the age of exposure,30000,2014-2015,Discovery Grants Program - Individual
"Aïmeur, Esma",Learning in the age of exposure,30000,2013-2014,Discovery Grants Program - Individual
"Aina, AnjolaoluwaAE",Construction of Interactive and Explainable Artificial Intelligence (XAI) System,6000,2022-2023,University Undergraduate Student Research Awards
"Aissa, Sonia",RIS-Enabled Machine-Type Communications with a Sustainability-Centric Approach,87000,2023-2024,Discovery Grants Program - Individual
"Aitchison, Stewart",GaAs optical receiver for wavelength division multiplexed photonic integrated circuit,43800,2012-2013,Collaborative Research and Development Grants
"AitMohamed, Otmane",Verification Framework and Tools for Highly Reliable Cyber-Physical Systems,20000,2014-2015,Discovery Grants Program - Individual
"AitMohamed, Otmane",Verification Framework and Tools for Highly Reliable Cyber-Physical Systems,20000,2013-2014,Discovery Grants Program - Individual
"AitMohamed, Otmane",Verification Framework and Tools for Highly Reliable Cyber-Physical Systems,20000,2016-2017,Discovery Grants Program - Individual
"AitMohamed, Otmane",Verification Framework and Tools for Highly Reliable Cyber-Physical Systems,20000,2015-2016,Discovery Grants Program - Individual
"AitMohamed, Otmane",Verification Framework and Tools for Highly Reliable Cyber-Physical Systems,20000,2017-2018,Discovery Grants Program - Individual
"Aïvodji, Ulrich",Towards understanding the interactions between the trustworthiness properties of machine learning,25000,2023-2024,Discovery Grants Program - Individual
"Aïvodji, Ulrich",Towards understanding the interactions between the trustworthiness properties of machine learning,25000,2022-2023,Discovery Grants Program - Individual
"Aïvodji, Ulrich",Towards understanding the interactions between the trustworthiness properties of machine learning,12500,2022-2023,Discovery Launch Supplement
"Ajila, Samuel",Automating software model evolution,15000,2010-2011,Discovery Grants Program - Individual
"Ajila, Samuel",Software clone detection technique,24250,2010-2011,Engage Grants Program
"Ajila, Samuel",Automating software model evolution,15000,2011-2012,Discovery Grants Program - Individual
"Ajila, SamuelAdesoye",Automating software model evolution,15000,2012-2013,Discovery Grants Program - Individual
"Ajila, SamuelAdesoye",Carleton Accessibility Media Project (CAMP),24960,2012-2013,Engage Grants Program
"Ajila, SamuelAdesoye",Using cloudlets and multipath TCP for seamless virtual machine migration,24900,2015-2016,Engage Grants Program
"Ajila, SamuelAdesoye",Improving software maintainability by reusing crosscutting concerns as aspects,22500,2013-2014,Engage Grants Program
"Akcora, Cuneyt",Data Science on Blockchains,24000,2022-2023,Discovery Grants Program - Individual
"Akhloufi, Moulay",Deep learning and collaborative filtering for project based team recommendation,25000,2018-2019,Engage Grants Program
"Akhloufi, Moulay",Detection of COVID-19 using AI - Deep learning and multiple medical imaging modalities,50000,2020-2021,Alliance Grants
"Akilan, Thangarajah","Towards More Efficient and Accurate Deep Learning Models for Segmentation, Classification, and Tracking",25000,2022-2023,Discovery Grants Program - Individual
"Akon, MursalinMohammad",Collaborative data access in mobile distributed networks,20000,2011-2012,Postdoctoral Fellowships
"Akon, MursalinMohammad",Collaborative data access in mobile distributed networks,20000,2010-2011,Postdoctoral Fellowships
"Aksoy, Yagiz",Image Analysis for Realistic Scene Manipulation,29000,2023-2024,Discovery Grants Program - Individual
"Aksoy, Yagiz",Image Analysis for Realistic Scene Manipulation,29000,2022-2023,Discovery Grants Program - Individual
"Al Mallah, Ranwa",Emerging methods in critical infrastructure security and resilience,29000,2023-2024,Discovery Grants Program - Individual
"Alaca, Furkan",Securing User Authentication in Emerging Threat Landscapes,24000,2022-2023,Discovery Grants Program - Individual
"Alaca, Furkan",Securing User Authentication in Emerging Threat Landscapes,24000,2021-2022,Discovery Grants Program - Individual
"Alagar, Vangalur",A framework for the development of a family of trustworthy systems,20000,2010-2011,Discovery Grants Program - Individual
"Alagar, Vangalur",A framework for the development of a family of trustworthy systems,20000,2011-2012,Discovery Grants Program - Individual
"Alagar, Vangalur","Cyber-Physical Systems - Formal Modeling, Design, and Verification",18000,2015-2016,Discovery Grants Program - Individual
"Alagar, Vangalur","Cyber-Physical Systems - Formal Modeling, Design, and Verification",18000,2018-2019,Discovery Grants Program - Individual
"Alagar, Vangalur","Cyber-Physical Systems - Formal Modeling, Design, and Verification",18000,2019-2020,Discovery Grants Program - Individual
"Alagar, Vangalur","Cyber-Physical Systems - Formal Modeling, Design, and Verification",18000,2017-2018,Discovery Grants Program - Individual
"Alagar, Vangalur","Cyber-Physical Systems - Formal Modeling, Design, and Verification",18000,2016-2017,Discovery Grants Program - Individual
"Alagar, Vangalur(Vasu)",MyHealth: A context-aware mobile healthcare framework,25000,2013-2014,Engage Grants Program
"Alagar, Vangalur(Vasu)",A framework for the development of a family of trustworthy systems,20000,2014-2015,Discovery Grants Program - Individual
"Alagar, Vangalur(Vasu)",A framework for the development of a family of trustworthy systems,20000,2013-2014,Discovery Grants Program - Individual
"Alagar, Vangalur(Vasu)",A framework for the development of a family of trustworthy systems,20000,2012-2013,Discovery Grants Program - Individual
"Alain, Guillaume",Generative Stochastic Networks,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Alajaji, Fady","Source-Channel Coding, Data Privacy and Contagion Mitigation in Communication and Information Networks",46000,2022-2023,Discovery Grants Program - Individual
"Alajaji, John",Transforming regular expressions to finite-state machines,6000,2021-2022,University Undergraduate Student Research Awards
"Alalfi, Manar",Model Driven Engineering for the IoT,23000,2021-2022,Discovery Grants Program - Individual
"Alalfi, Manar",Model Driven Engineering for the IoT,23000,2022-2023,Discovery Grants Program - Individual
"Alalfi, Manar",Model Driven Engineering for the IoT,23000,2018-2019,Discovery Grants Program - Individual
"Alalfi, Manar",Model Driven Engineering for the IoT,23000,2020-2021,Discovery Grants Program - Individual
"Alalfi, Manar",Vulnerability classification of IoT Software,25000,2019-2020,Engage Grants Program
"Alalfi, Manar",Model Driven Engineering for the IoT,23000,2019-2020,Discovery Grants Program - Individual
"Alam, Omar",Concern-Driven Development Process,20000,2022-2023,Discovery Grants Program - Individual
"Alam, Omar",Concern-Driven Development Process,20000,2023-2024,Discovery Grants Program - Individual
"Alameldeen, Alaa",Accelerating Next-Generation Applications Via Secure and Reliable Compute-in-Memory Systems,34000,2022-2023,Discovery Grants Program - Individual
"AlberdingkThijm, Timothy",Digging into Parliamentary Data,4500,2015-2016,University Undergraduate Student Research Awards
"Alcock, Celena",Understanding How Domain Expertise is Used During Software Development,4500,2015-2016,University Undergraduate Student Research Awards
"AleMohammad, SeyedArmin",Towards Machine Unlearning with SISA,6000,2021-2022,University Undergraduate Student Research Awards
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2021-2022,Discovery Grants Program - Individual
"Alencar, Paulo","Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis",30000,2012-2013,Discovery Grants Program - Individual
"Alencar, Paulo","Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis",30000,2013-2014,Discovery Grants Program - Individual
"Alencar, Paulo","Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis",30000,2011-2012,Discovery Grants Program - Individual
"Alencar, Paulo","Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis",30000,2010-2011,Discovery Grants Program - Individual
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2020-2021,Discovery Grants Program - Individual
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2018-2019,Discovery Grants Program - Individual
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2019-2020,Discovery Grants Program - Individual
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2016-2017,Discovery Grants Program - Individual
"Alencar, Paulo",Static and Dynamic High-Integrity Architectural Application Frameworks,18000,2017-2018,Discovery Grants Program - Individual
"Alhadidi, Dima",Privacy-Preserving Machine Learning Techniques,12500,2019-2020,Discovery Launch Supplement
"Alhadidi, Dima",Privacy-Preserving Machine Learning Techniques,23000,2020-2021,Discovery Grants Program - Individual
"Alhadidi, Dima",Privacy-Preserving Machine Learning Techniques,23000,2019-2020,Discovery Grants Program - Individual
"Alhadidi, Dima",Privacy-Preserving Machine Learning Techniques,23000,2021-2022,Discovery Grants Program - Individual
"Alhadidi, Dima",Privacy-Preserving Machine Learning Techniques,23000,2022-2023,Discovery Grants Program - Individual
"Alhajj, Reda",Making Sense of Data by Capturing and Analyzing Various Data Types from Different Sources for Effective Decision Making,56000,2022-2023,Discovery Grants Program - Individual
"Alhajj, Reda",Employing Data Mining and Machine Learning Techniques for Social Network Modeling and Analysis,20000,2012-2013,Discovery Grants Program - Individual
"Ali, Karim",Scalable and Precise Program Analysis for Modern Software Systems,50000,2022-2023,Discovery Grants Program - Individual
"Ali, MuhammmadUmar",Artificial Intelligence for Precision Medicine in Ovarian Carcinoma,4500,2020-2021,University Undergraduate Student Research Awards
"Alim, Usman",Toward Scalable Non-Cartesian Computing,23000,2022-2023,Discovery Grants Program - Individual
"Alirezaee, Shahpour DR",Uncertainty-aware Pedestrian Behavior Prediction for Autonomous Vehicles,25000,2023-2024,Alliance Grants
"Alix, GianCarlo",Modeling and evaluation of location-based risk of epidemics using mobility data,6000,2021-2022,University Undergraduate Student Research Awards
"Alix, GianCarloGC",Deep Learning Frameworks for Measuring Similarity in Big Trajectory Data,17500,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"AlKiswany, Samer",Exploring a New Design Paradigm for Distributed Systems in Modern Data Centers,31000,2022-2023,Discovery Grants Program - Individual
"Allison, Robert",Perception of Layout and Motion during Self Motion in Real and Virtual Worlds,41000,2022-2023,Discovery Grants Program - Individual
"AlMallah, Ranwa",Emerging methods in critical infrastructure security and resilience,29000,2022-2023,Discovery Grants Program - Individual
"Aloise, Daniel",(Re)designing Clustering Algorithms for Big Data,20000,2022-2023,Discovery Grants Program - Individual
"AlOsman, Hussein","Affective Analytics: A Framework for Monitoring Emotions at the Micro, Meso, and Macro Levels",24000,2022-2023,Discovery Grants Program - Individual
"Alqudah, Rabiah",Peripheral Blood Smear Analysis Using Deep Learning,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Alqudah, RabiahRAAQ",Peripheral Blood Smear Analysis Using Deep Learning,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Altarawneh, EnasKhaled",Multi-model HRI: Regulating the emotional discourse in conversations between humans and an animated intelligent agent,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Altarawneh, EnasKhaledEK",Multi-model HRI: Regulating the emotional discourse in conversations between humans and an animated intelligent agent,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Aly, Yomna",Simulating the data center network,4500,2014-2015,University Undergraduate Student Research Awards
"Amannejad, Yasaman",Evaluation and Testing Framework for Cloud and Edge Computing Applications,24000,2022-2023,Discovery Grants Program - Individual
"Amaral, Jose",Software Stack for General-Purpose Tensor Processing Units,35000,2022-2023,Discovery Grants Program - Individual
"Amaral, Ryan",Evolution in Computer Game Agent Behaviours,4500,2018-2019,University Undergraduate Student Research Awards
"Amini, Marzieh",Security and Safety in Environmental Perception Systems with Applications to Autonomous Systems,26000,2022-2023,Discovery Grants Program - Individual
"Amortila, Philip",Towards Practical Safety for State Abstractions in Reinforcement Learning,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Amortila, Philip",Towards Practical Safety for State Abstractions in Reinforcement Learning,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Amortila, Philip",Towards Practical Safety for State Abstractions in Reinforcement Learning,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Amy, Matthew","Formal methods for reliable, high-performance quantum computing",29000,2023-2024,Discovery Grants Program - Individual
"Amy, Matthew","Formal methods for reliable, high-performance quantum computing",29000,2022-2023,Discovery Grants Program - Individual
"Amyot, Daniel",Requirements Engineering for Emerging Healthcare Software Systems,68000,2022-2023,Discovery Grants Program - Individual
"Amyot, Daniel",Requirements Engineering for Emerging Healthcare Software Systems,34000,2021-2022,Discovery Grants Program - Individual
"Amyot, Daniel",Requirements Engineering for Emerging Healthcare Software Systems,34000,2019-2020,Discovery Grants Program - Individual
"Amyot, Daniel",Requirements Engineering for Emerging Healthcare Software Systems,34000,2020-2021,Discovery Grants Program - Individual
"Amyot, Daniel",Requirements Engineering for Emerging Healthcare Software Systems,34000,2018-2019,Discovery Grants Program - Individual
"Amyot, Daniel",Aspect-oriented requirements engineering with AoURN,21500,2012-2013,Discovery Grants Program - Individual
"Amyot, Daniel",Aspect-oriented requirements engineering with AoURN,21500,2010-2011,Discovery Grants Program - Individual
"Amyot, Daniel",Aspect-oriented requirements engineering with AoURN,21500,2011-2012,Discovery Grants Program - Individual
"An, Aijun",Data and visual analytics for decision making in next generation media properties,50000,2014-2015,Collaborative Research and Development Grants
"An, Aijun",An online integrated health risk assessment tool,30000,2014-2015,Collaborative Research and Development Grants
"An, Aijun",Online Mining of Big Data Streams Using Cloud Computing,40000,2014-2015,Discovery Grants Program - Accelerator Supplements
"An, Aijun",An online integrated health risk assessment tool,30000,2015-2016,Collaborative Research and Development Grants
"An, Aijun",Data and visual analytics for decision making in next generation media properties,50000,2015-2016,Collaborative Research and Development Grants
"An, Aijun",Online Mining of Big Data Streams Using Cloud Computing,40000,2015-2016,Discovery Grants Program - Accelerator Supplements
"An, Aijun",Applications of IBM Platform Computing solutions for solving graphic analytics and 3D scalable video cloud transcoder problems,80000,2018-2019,Collaborative Research and Development Grants
"An, Aijun",An online integrated health risk assessment tool,30000,2018-2019,Collaborative Research and Development Grants
"An, Aijun",An online integrated health risk assessment tool,30000,2017-2018,Collaborative Research and Development Grants
"An, Aijun",Applications of IBM Platform Computing solutions for solving graphic analytics and 3D scalable video cloud transcoder problems,80000,2017-2018,Collaborative Research and Development Grants
"An, Aijun",Data and visual analytics for decision making in next generation media properties,100000,2017-2018,Collaborative Research and Development Grants
"An, Aijun",An online integrated health risk assessment tool,30000,2016-2017,Collaborative Research and Development Grants
"An, Aijun",Applications of IBM Platform Computing solutions for solving graphic analytics and 3D scalable video cloud transcoder problems,80000,2016-2017,Collaborative Research and Development Grants
"An, Aijun",Online Mining of Big Data Streams Using Cloud Computing,40000,2016-2017,Discovery Grants Program - Accelerator Supplements
"An, Aijun",Data and visual analytics for decision making in next generation media properties,50000,2019-2020,Collaborative Research and Development Grants
"An, Aijun",Adaptive Online Mining of Big Data Streams,48000,2022-2023,Discovery Grants Program - Individual
"AnbilParthipan, SarathChandar",Representation Learning for Lifelong Learning,24000,2021-2022,Discovery Grants Program - Individual
"AnbilParthipan, SarathChandar",Representation Learning for Lifelong Learning,24000,2022-2023,Discovery Grants Program - Individual
"AnbilParthipan, SarathChandar",Representation Learning for Lifelong Learning,24000,2020-2021,Discovery Grants Program - Individual
"Anderson, Ashton","Behavioural Computation: Analysis, Models, and Algorithms for Supporting Human Improvement on the Web",33000,2020-2021,Discovery Grants Program - Individual
"Anderson, Ashton","Behavioural Computation: Analysis, Models, and Algorithms for Supporting Human Improvement on the Web",33000,2019-2020,Discovery Grants Program - Individual
"Anderson, Ashton","Behavioural Computation: Analysis, Models, and Algorithms for Supporting Human Improvement on the Web",33000,2018-2019,Discovery Grants Program - Individual
"Anderson, Ashton","Behavioural Computation: Analysis, Models, and Algorithms for Supporting Human Improvement on the Web",33000,2021-2022,Discovery Grants Program - Individual
"Anderson, Ashton","Behavioural Computation: Analysis, Models, and Algorithms for Supporting Human Improvement on the Web",33000,2022-2023,Discovery Grants Program - Individual
"Anderson, Jason",Software-Specified Hardware Acceleration for Energy-Efficient Computing,110000,2023-2024,Discovery Grants Program - Individual
"Anderson, John",Dynamic Heterogeneous Multi-Robot Team Management in Dangerous Domains,40000,2021-2022,Discovery Grants Program - Individual
"Anderson, John",Dynamic Heterogeneous Multi-Robot Team Management in Dangerous Domains,20000,2018-2019,Discovery Grants Program - Individual
"Anderson, John",Dynamic Heterogeneous Multi-Robot Team Management in Dangerous Domains,20000,2019-2020,Discovery Grants Program - Individual
"Anderson, John",Dynamic Heterogeneous Multi-Robot Team Management in Dangerous Domains,20000,2020-2021,Discovery Grants Program - Individual
"Andreev, Pavel",Developing a new architectural framework for designing Digital Habit Formation Support System,24000,2022-2023,Discovery Grants Program - Individual
"Andreev, Pavel",Developing a new architectural framework for designing Digital Habit Formation Support System,24000,2023-2024,Discovery Grants Program - Individual
"Andrews, James","Development of high-quality, accessible software",28700,2011-2012,Discovery Grants Program - Individual
"Andrews, James","Software testing: creating smart, flexible tests from brittle recorded tests",10750,2010-2011,Engage Grants Program
"Andrews, James","Efficient, effective methods of software verification and validation",28700,2010-2011,Discovery Grants Program - Individual
"Andrews, James",Testing and Debugging: Connecting Research with Practice,28000,2012-2013,Discovery Grants Program - Individual
"Andrews, James",Testing and Debugging: Connecting Research with Practice,18090,2013-2014,Discovery Grants Program - Individual
"Andrews, Sheldon",Real-time synthesis and capture of contact rich human interactions,23000,2022-2023,Discovery Grants Program - Individual
"Anil, Cem",Learning to Make Robust Decisions,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Anil, Cem",Learning to Make Robust Decisions,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Anil, CemC",Learning to Make Robust Decisions,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Anpalagan, Alagan A",Scalable Intelligent Digital Twin for Symbiotic Radio Networks,25000,2023-2024,Alliance Grants
"Ansermino, JohnMark",The monitoring messenger: Mobile patient monitoring for the intensive care unit,24000,2011-2012,Discovery Grants Program - Individual
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2020-2021,Discovery Grants Program - Individual
